"","Player","TotalRuns","Total4s","Total6s","TotalBoundaries","RunsFrom4s","RunsFrom6s","RunsFromBoundaries","PropFrom4s","PropFrom6s","PropFromBoundaries"
"560","CS Cowdrey (ENG)",101,9,2,11,36,12,48,0.356435643564356,0.118811881188119,0.475247524752475
"561","CS Dempster (NZ)",723,28,1,29,112,6,118,0.154910096818811,0.00829875518672199,0.163208852005533
"562","CS Marriott (ENG)",0,0,0,0,0,0,0,NA,NA,NA
"563","CS Martin (NZ)",123,15,0,15,60,0,60,0.48780487804878,0,0.48780487804878
"564","CS Nayudu (INDIA)",147,3,2,5,12,12,24,0.0816326530612245,0.0816326530612245,0.163265306122449
"565","CS Pandit (INDIA)",171,18,0,18,72,0,72,0.421052631578947,0,0.421052631578947
"566","CS Serjeant (AUS)",522,62,1,63,248,6,254,0.475095785440613,0.0114942528735632,0.486590038314176
"567","CS Wimble (SA)",0,0,0,0,0,0,0,NA,NA,NA
"568","CT Bancroft (AUS)",402,56,1,57,224,6,230,0.557213930348259,0.0149253731343284,0.572139303482587
"569","CT Mumba (ZIM)",14,1,0,1,4,0,4,0.285714285714286,0,0.285714285714286
"570","CT Patankar (INDIA)",14,0,0,0,0,0,0,0,0,0
"571","CT Radley (ENG)",481,43,0,43,172,0,172,0.357588357588358,0,0.357588357588358
"572","CT Sarwate (INDIA)",208,5,0,5,20,0,20,0.0961538461538462,0,0.0961538461538462
"573","CT Studd (ENG)",160,11,0,11,44,0,44,0.275,0,0.275
"574","CT Tremlett (ENG)",113,12,0,12,48,0,48,0.424778761061947,0,0.424778761061947
"575","CTB Turner (AUS)",323,12,0,12,48,0,48,0.148606811145511,0,0.148606811145511
"576","CV Gadkari (INDIA)",129,0,0,0,0,0,0,0,0,0
"577","CV Grimmett (AUS)",557,17,2,19,68,12,80,0.122082585278276,0.0215439856373429,0.143626570915619
"578","CV Wight (WI)",67,0,0,0,0,0,0,0,0,0
"579","CW Henderson (SA)",65,9,0,9,36,0,36,0.553846153846154,0,0.553846153846154
"580","CW Smith (WI)",222,31,1,32,124,6,130,0.558558558558559,0.027027027027027,0.585585585585586
"581","CW Wright (ENG)",125,0,0,0,0,0,0,0,0,0
"582","CWJ Athey (ENG)",919,93,0,93,372,0,372,0.404787812840044,0,0.404787812840044
"583","CWL Parker (ENG)",3,0,0,0,0,0,0,0,0,0
"584","CZ Harris (NZ)",777,87,2,89,348,12,360,0.447876447876448,0.0154440154440154,0.463320463320463
"585","D Bishoo (WI)",647,63,4,67,252,24,276,0.389489953632148,0.0370942812982998,0.426584234930448
"586","D Brookes (ENG)",17,0,0,0,0,0,0,0,0,0
"587","D Dasgupta (INDIA)",344,40,1,41,160,6,166,0.465116279069767,0.0174418604651163,0.482558139534884
"588","D Denton (ENG)",424,23,0,23,92,0,92,0.216981132075472,0,0.216981132075472
"589","D Elgar (SA)",3243,385,21,406,1540,126,1666,0.474868948504471,0.0388529139685476,0.513721862473019
"590","D Gamsy (SA)",39,2,0,2,8,0,8,0.205128205128205,0,0.205128205128205
"591","D Ganesh (INDIA)",25,1,0,1,4,0,4,0.16,0,0.16
"592","D Ganga (WI)",2160,284,2,286,1136,12,1148,0.525925925925926,0.00555555555555556,0.531481481481481
"593","D Gough (ENG)",855,102,9,111,408,54,462,0.47719298245614,0.0631578947368421,0.540350877192982
"594","D Hettiarachchi (SL)",0,0,0,0,0,0,0,NA,NA,NA
"595","D Kenyon (ENG)",192,10,0,10,40,0,40,0.208333333333333,0,0.208333333333333
"596","D Lloyd (ENG)",552,54,0,54,216,0,216,0.391304347826087,0,0.391304347826087
"597","D Mohammed (WI)",225,32,6,38,128,36,164,0.568888888888889,0.16,0.728888888888889
"598","D Olivier (SA)",7,1,0,1,4,0,4,0.571428571428571,0,0.571428571428571
"599","D Pretorius (SA)",22,4,0,4,16,0,16,0.727272727272727,0,0.727272727272727
"600","D Ramdin (WI)",2898,376,6,382,1504,36,1540,0.518978605935128,0.0124223602484472,0.531400966183575
"601","D Ramnarine (WI)",106,12,0,12,48,0,48,0.452830188679245,0,0.452830188679245
"602","D Ranatunga (SL)",87,4,0,4,16,0,16,0.183908045977011,0,0.183908045977011
"603","D Shackleton (ENG)",113,2,0,2,8,0,8,0.0707964601769911,0,0.0707964601769911
"604","D Smith (ENG)",128,0,0,0,0,0,0,0,0,0
"605","D Tallon (AUS)",394,24,0,24,96,0,96,0.243654822335025,0,0.243654822335025
"606","D Taylor (SA)",85,0,0,0,0,0,0,0,0,0
"607","D Williams (WI)",242,22,0,22,88,0,88,0.363636363636364,0,0.363636363636364
"608","D Wilson (ENG)",75,7,1,8,28,6,34,0.373333333333333,0.08,0.453333333333333
"609","DA Allen (ENG)",918,66,0,66,264,0,264,0.287581699346405,0,0.287581699346405
"610","DA Gunawardene (SL)",181,33,0,33,132,0,132,0.729281767955801,0,0.729281767955801
"611","DA Marillier (ZIM)",186,16,2,18,64,12,76,0.344086021505376,0.0645161290322581,0.408602150537634
"612","DA Murray (WI)",647,40,0,40,160,0,160,0.247295208655332,0,0.247295208655332
"613","DA Reeve (ENG)",124,8,0,8,32,0,32,0.258064516129032,0,0.258064516129032
"614","DA Renneberg (AUS)",22,1,0,1,4,0,4,0.181818181818182,0,0.181818181818182
"615","DA Sharpe (PAK)",134,0,0,0,0,0,0,0,0,0
"616","DA Stirling (NZ)",108,11,3,14,44,18,62,0.407407407407407,0.166666666666667,0.574074074074074
"617","DA Warner (AUS)",6363,765,55,820,3060,330,3390,0.480905233380481,0.0518623290900519,0.532767562470533
"618","DAJ Bracewell (NZ)",568,70,8,78,280,48,328,0.492957746478873,0.0845070422535211,0.577464788732394
"619","DAJ Holford (WI)",768,58,1,59,232,6,238,0.302083333333333,0.0078125,0.309895833333333
"620","DAN McRae (NZ)",8,0,0,0,0,0,0,0,0,0
"621","Danish Kaneria (PAK)",360,46,3,49,184,18,202,0.511111111111111,0.05,0.561111111111111
"622","DAR Moloney (NZ)",156,0,0,0,0,0,0,0,0,0
"623","DAS Gunaratne (SL)",455,50,1,51,200,6,206,0.43956043956044,0.0131868131868132,0.452747252747253
"624","DB Carr (ENG)",135,0,0,0,0,0,0,0,0,0
"625","DB Close (ENG)",887,88,4,92,352,24,376,0.39684329199549,0.0270574971815107,0.423900789177001
"626","DB Pithey (SA)",138,3,0,3,12,0,12,0.0869565217391304,0,0.0869565217391304
"627","DB Vengsarkar (INDIA)",6914,564,17,581,2256,102,2358,0.326294474978305,0.0147526757304021,0.341047150708707
"628","DBL Powell (WI)",407,50,4,54,200,24,224,0.491400491400491,0.058968058968059,0.55036855036855
"629","DBM Smith (AUS)",30,0,0,0,0,0,0,0,0,0
"630","DC Boon (AUS)",7422,826,2,828,3304,12,3316,0.445163028833199,0.00161681487469685,0.446779843707895
"631","DC Cleverley (NZ)",19,0,0,0,0,0,0,0,0,0
"632","DC Parkin (SA)",6,0,0,0,0,0,0,0,0,0
"633","DCH Townsend (ENG)",77,0,1,1,0,6,6,0,0.0779220779220779,0.0779220779220779
"634","DCS Compton (ENG)",5807,440,3,443,1760,18,1778,0.303082486654038,0.00309970724987085,0.306182193903909
"635","DD Beard (NZ)",101,0,1,1,0,6,6,0,0.0594059405940594,0.0594059405940594
"636","DD Blackie (AUS)",24,0,0,0,0,0,0,0,0,0
"637","DD Ebrahim (ZIM)",1225,145,0,145,580,0,580,0.473469387755102,0,0.473469387755102
"638","DD Hindlekar (INDIA)",71,0,0,0,0,0,0,0,0,0
"639","DD Parsana (INDIA)",1,0,0,0,0,0,0,0,0,0
"640","DD Taylor (NZ)",159,10,1,11,40,6,46,0.251572327044025,0.0377358490566038,0.289308176100629
"641","DE Bernard (WI)",202,18,3,21,72,18,90,0.356435643564356,0.0891089108910891,0.445544554455446
"642","DE Bollinger (AUS)",54,7,0,7,28,0,28,0.518518518518518,0,0.518518518518518
"643","DE Hoare (AUS)",35,2,0,2,8,0,8,0.228571428571429,0,0.228571428571429
"644","DE Malcolm (ENG)",236,31,7,38,124,42,166,0.525423728813559,0.177966101694915,0.703389830508475
"645","DEJ Ironside (SA)",37,0,0,0,0,0,0,0,0,0
"646","DEV Padgett (ENG)",51,5,0,5,20,0,20,0.392156862745098,0,0.392156862745098
"647","DF Whatmore (AUS)",293,36,0,36,144,0,144,0.491467576791809,0,0.491467576791809
"648","DG Bradman (AUS)",6996,681,6,687,2724,36,2760,0.389365351629503,0.00514579759862779,0.39451114922813
"649","DG Brownlie (NZ)",711,96,3,99,384,18,402,0.540084388185654,0.0253164556962025,0.565400843881857
"650","DG Cork (ENG)",864,111,4,115,444,24,468,0.513888888888889,0.0277777777777778,0.541666666666667
"651","DG Phadkar (INDIA)",1229,35,4,39,140,24,164,0.113913751017087,0.0195280716029292,0.133441822620016
"652","DG Sewell (NZ)",1,0,0,0,0,0,0,0,0,0
"653","DH Brain (ZIM)",115,17,0,17,68,0,68,0.591304347826087,0,0.591304347826087
"654","DI Gower (ENG)",8277,986,10,996,3944,60,4004,0.47650114775885,0.00724900326205147,0.483750151020901
"655","Dilawar Hussain (INDIA)",254,9,2,11,36,12,48,0.141732283464567,0.047244094488189,0.188976377952756
"656","DJ Bravo (WI)",2200,269,21,290,1076,126,1202,0.489090909090909,0.0572727272727273,0.546363636363636
"657","DJ Brown (ENG)",342,31,0,31,124,0,124,0.362573099415205,0,0.362573099415205
"658","DJ Capel (ENG)",374,34,1,35,136,6,142,0.363636363636364,0.0160427807486631,0.379679144385027
"659","DJ Colley (AUS)",84,9,0,9,36,0,36,0.428571428571429,0,0.428571428571429
"660","DJ Cullinan (SA)",4416,532,25,557,2128,150,2278,0.481884057971014,0.0339673913043478,0.515851449275362
"661","DJ Gandhi (INDIA)",204,27,1,28,108,6,114,0.529411764705882,0.0294117647058824,0.558823529411765
"662","DJ Insole (ENG)",408,25,0,25,100,0,100,0.245098039215686,0,0.245098039215686
"663","DJ Johnson (INDIA)",8,1,0,1,4,0,4,0.5,0,0.5
"664","DJ Knight (ENG)",54,3,0,3,12,0,12,0.222222222222222,0,0.222222222222222
"665","DJ Malan (ENG)",724,97,1,98,388,6,394,0.535911602209945,0.00828729281767956,0.544198895027624
"666","DJ McGlew (SA)",2440,154,2,156,616,12,628,0.252459016393443,0.00491803278688525,0.257377049180328
"667","DJ Meintjes (SA)",43,0,0,0,0,0,0,0,0,0
"668","DJ Murray (NZ)",303,34,0,34,136,0,136,0.448844884488449,0,0.448844884488449
"669","DJ Nash (NZ)",729,65,4,69,260,24,284,0.356652949245542,0.0329218106995885,0.38957475994513
"670","DJ Pagon (WI)",37,7,0,7,28,0,28,0.756756756756757,0,0.756756756756757
"671","DJ Pattinson (ENG)",21,3,0,3,12,0,12,0.571428571428571,0,0.571428571428571
"672","DJ Richardson (SA)",1359,144,2,146,576,12,588,0.423841059602649,0.00883002207505519,0.432671081677704
"673","DJ Sincock (AUS)",80,9,0,9,36,0,36,0.45,0,0.45
"674","DJ Terbrugge (SA)",16,0,0,0,0,0,0,0,0,0
"675","DJ Vilas (SA)",94,11,0,11,44,0,44,0.468085106382979,0,0.468085106382979
"676","DJ White (NZ)",31,3,0,3,12,0,12,0.387096774193548,0,0.387096774193548
"677","DJG Sammy (WI)",1323,157,34,191,628,204,832,0.474678760393046,0.154195011337868,0.628873771730915
"678","DK Gaekwad (INDIA)",350,9,0,9,36,0,36,0.102857142857143,0,0.102857142857143
"679","DK Lillee (AUS)",905,96,8,104,384,48,432,0.424309392265193,0.0530386740331492,0.477348066298343
"680","DK Liyanage (SL)",69,5,0,5,20,0,20,0.289855072463768,0,0.289855072463768
"681","DK Morrison (NZ)",379,35,1,36,140,6,146,0.369393139841689,0.0158311345646438,0.385224274406332
"682","DL Amiss (ENG)",3612,427,3,430,1708,18,1726,0.472868217054264,0.00498338870431894,0.477851605758582
"683","DL Bairstow (ENG)",125,17,0,17,68,0,68,0.544,0,0.544
"684","DL Freeman (NZ)",2,0,0,0,0,0,0,0,0,0
"685","DL Haynes (WI)",7533,837,24,861,3348,144,3492,0.444444444444444,0.019115890083632,0.463560334528076
"686","DL Houghton (ZIM)",1418,160,12,172,640,72,712,0.451339915373766,0.0507757404795487,0.502115655853315
"687","DL Maddy (ENG)",46,4,0,4,16,0,16,0.347826086956522,0,0.347826086956522
"688","DL Murray (WI)",1993,161,7,168,644,42,686,0.32313095835424,0.0210737581535374,0.344204716507777
"689","DL Piedt (SA)",48,2,0,2,8,0,8,0.166666666666667,0,0.166666666666667
"690","DL Underwood (ENG)",937,91,0,91,364,0,364,0.388473852721451,0,0.388473852721451
"691","DL Vettori (ICC)",8,0,0,0,0,0,0,0,0,0
"692","DL Vettori (NZ)",4523,556,17,573,2224,102,2326,0.491709042670794,0.0225514039354411,0.514260446606235
"693","DM Bess (ENG)",111,16,0,16,64,0,64,0.576576576576577,0,0.576576576576577
"694","DM Bravo (WI)",3400,390,39,429,1560,234,1794,0.458823529411765,0.0688235294117647,0.527647058823529
"695","DM de Silva (SL)",1186,151,7,158,604,42,646,0.509274873524452,0.0354131534569983,0.54468802698145
"696","DM Jones (AUS)",3631,361,10,371,1444,60,1504,0.397686587716882,0.01652437345084,0.414210961167722
"697","DM Lewis (WI)",259,20,0,20,80,0,80,0.308880308880309,0,0.308880308880309
"698","DM Richards (WI)",125,20,3,23,80,18,98,0.64,0.144,0.784
"699","DM Smith (ENG)",80,13,0,13,52,0,52,0.65,0,0.65
"700","DM Washington (WI)",7,1,0,1,4,0,4,0.571428571428571,0,0.571428571428571
"701","DM Wellham (AUS)",257,27,0,27,108,0,108,0.420233463035019,0,0.420233463035019
"702","DN Patel (NZ)",1200,119,8,127,476,48,524,0.396666666666667,0.04,0.436666666666667
"703","DN Sardesai (INDIA)",2001,204,2,206,816,12,828,0.407796101949025,0.00599700149925037,0.413793103448276
"704","DNT Zoysa (SL)",288,31,5,36,124,30,154,0.430555555555556,0.104166666666667,0.534722222222222
"705","DP Conyngham (SA)",6,0,0,0,0,0,0,0,0,0
"706","DP Samaraweera (SL)",211,18,0,18,72,0,72,0.341232227488152,0,0.341232227488152
"707","DP Viljoen (ZIM)",57,6,0,6,24,0,24,0.421052631578947,0,0.421052631578947
"708","DPB Morkel (SA)",663,8,3,11,32,18,50,0.0482654600301659,0.0271493212669683,0.0754147812971342
"709","DPMD Jayawardene (SL)",11722,1373,61,1434,5492,366,5858,0.46852073025081,0.0312233407268384,0.499744070977649
"710","DR Doshi (INDIA)",129,13,0,13,52,0,52,0.403100775193798,0,0.403100775193798
"711","DR Flynn (NZ)",1038,135,4,139,540,24,564,0.520231213872832,0.023121387283237,0.543352601156069
"712","DR Gilbert (AUS)",57,4,0,4,16,0,16,0.280701754385965,0,0.280701754385965
"713","DR Hadlee (NZ)",530,45,6,51,180,36,216,0.339622641509434,0.0679245283018868,0.407547169811321
"714","DR Jardine (ENG)",1296,53,0,53,212,0,212,0.16358024691358,0,0.16358024691358
"715","DR Martyn (AUS)",4406,513,10,523,2052,60,2112,0.46572855197458,0.0136177939173854,0.479346345891966
"716","DR O'Sullivan (NZ)",158,13,0,13,52,0,52,0.329113924050633,0,0.329113924050633
"717","DR Parry (WI)",381,32,1,33,128,6,134,0.335958005249344,0.015748031496063,0.351706036745407
"718","DR Pringle (ENG)",695,66,2,68,264,12,276,0.379856115107914,0.0172661870503597,0.397122302158273
"719","DR Smith (ENG)",38,3,2,5,12,12,24,0.315789473684211,0.315789473684211,0.631578947368421
"720","DR Smith (WI)",320,47,6,53,188,36,224,0.5875,0.1125,0.7
"721","DR Tuffey (NZ)",427,46,4,50,184,24,208,0.430913348946136,0.0562060889929742,0.48711943793911
"722","DRA Gehrs (AUS)",225,27,0,27,108,0,108,0.48,0,0.48
"723","DRE Joseph (WI)",141,18,1,19,72,6,78,0.51063829787234,0.0425531914893617,0.553191489361702
"724","DS Atkinson (WI)",922,46,6,52,184,36,220,0.199566160520607,0.0390455531453362,0.238611713665944
"725","DS de Silva (SL)",406,25,0,25,100,0,100,0.246305418719212,0,0.246305418719212
"726","DS Lehmann (AUS)",1798,214,10,224,856,60,916,0.476084538375973,0.0333704115684093,0.509454949944383
"727","DS Mohanty (INDIA)",0,0,0,0,0,0,0,NA,NA,NA
"728","DS Smith (WI)",1760,246,1,247,984,6,990,0.559090909090909,0.00340909090909091,0.5625
"729","DS Steele (ENG)",673,74,3,77,296,18,314,0.439821693907875,0.0267459138187221,0.466567607726597
"730","DS Tomlinson (SA)",9,2,0,2,8,0,8,0.888888888888889,0,0.888888888888889
"731","DSBP Kuruppu (SL)",366,47,0,47,188,0,188,0.513661202185792,0,0.513661202185792
"732","DT Dewdney (WI)",17,0,0,0,0,0,0,0,0,0
"733","DT Hondo (ZIM)",83,11,0,11,44,0,44,0.530120481927711,0,0.530120481927711
"734","DT Lindsay (SA)",1130,122,13,135,488,78,566,0.431858407079646,0.0690265486725664,0.500884955752212
"735","DT Mutendera (ZIM)",10,0,1,1,0,6,6,0,0.6,0.6
"736","DT Ring (AUS)",426,45,2,47,180,12,192,0.422535211267606,0.028169014084507,0.450704225352113
"737","DT Tiripano (ZIM)",219,28,1,29,112,6,118,0.511415525114155,0.0273972602739726,0.538812785388128
"738","DV Brennan (ENG)",16,0,0,0,0,0,0,0,0,0
"739","DV Dyer (SA)",96,0,0,0,0,0,0,0,0,0
"740","DV Lawrence (ENG)",60,7,0,7,28,0,28,0.466666666666667,0,0.466666666666667
"741","DV Smith (ENG)",25,2,0,2,8,0,8,0.32,0,0.32
"742","DVP Wright (ENG)",289,23,0,23,92,0,92,0.318339100346021,0,0.318339100346021
"743","DW Allan (WI)",75,0,0,0,0,0,0,0,0,0
"744","DW Begbie (SA)",138,9,1,10,36,6,42,0.260869565217391,0.0434782608695652,0.304347826086957
"745","DW Carr (ENG)",0,0,0,0,0,0,0,NA,NA,NA
"746","DW Fleming (AUS)",305,39,0,39,156,0,156,0.511475409836066,0,0.511475409836066
"747","DW Gregory (AUS)",60,0,0,0,0,0,0,0,0,0
"748","DW Headley (ENG)",186,18,0,18,72,0,72,0.387096774193548,0,0.387096774193548
"749","DW Hookes (AUS)",1306,147,5,152,588,30,618,0.450229709035222,0.0229709035222052,0.473200612557427
"750","DW Randall (ENG)",2470,254,5,259,1016,30,1046,0.411336032388664,0.0121457489878543,0.423481781376518
"751","DW Richardson (ENG)",33,3,0,3,12,0,12,0.363636363636364,0,0.363636363636364
"752","DW Steyn (SA)",1194,117,35,152,468,210,678,0.391959798994975,0.175879396984925,0.5678391959799
"753","DW White (ENG)",0,0,0,0,0,0,0,NA,NA,NA
"754","E Chigumbura (ZIM)",569,67,6,73,268,36,304,0.471001757469244,0.0632688927943761,0.53427065026362
"755","E Evans (AUS)",82,3,0,3,12,0,12,0.146341463414634,0,0.146341463414634
"756","E Jones (AUS)",126,5,0,5,20,0,20,0.158730158730159,0,0.158730158730159
"757","E Leadbeater (ENG)",40,0,0,0,0,0,0,0,0,0
"758","E Paynter (ENG)",1540,127,4,131,508,24,532,0.32987012987013,0.0155844155844156,0.345454545454545
"759","E Peate (ENG)",70,5,0,5,20,0,20,0.285714285714286,0,0.285714285714286
"760","E Wainwright (ENG)",132,2,0,2,8,0,8,0.0606060606060606,0,0.0606060606060606
"761","EA Brandes (ZIM)",121,11,3,14,44,18,62,0.363636363636364,0.148760330578512,0.512396694214876
"762","EA Halliwell (SA)",188,0,0,0,0,0,0,0,0,0
"763","EA Martindale (WI)",58,0,1,1,0,6,6,0,0.103448275862069,0.103448275862069
"764","EA McDonald (AUS)",108,15,1,16,60,6,66,0.555555555555556,0.0555555555555556,0.611111111111111
"765","EA Moseley (WI)",35,5,0,5,20,0,20,0.571428571428571,0,0.571428571428571
"766","EA van der Merwe (SA)",27,0,0,0,0,0,0,0,0,0
"767","EAB Rowan (SA)",1965,42,0,42,168,0,168,0.0854961832061069,0,0.0854961832061069
"768","EAC Hunte (WI)",166,0,0,0,0,0,0,0,0,0
"769","EAE Baptiste (WI)",233,27,1,28,108,6,114,0.463519313304721,0.0257510729613734,0.489270386266094
"770","EAR de Silva (SL)",185,8,0,8,32,0,32,0.172972972972973,0,0.172972972972973
"771","EAS Prasanna (INDIA)",735,65,0,65,260,0,260,0.353741496598639,0,0.353741496598639
"772","EAV Williams (WI)",113,7,4,11,28,24,52,0.247787610619469,0.212389380530973,0.460176991150442
"773","EB Lundie (SA)",1,0,0,0,0,0,0,0,0,0
"774","EC Joyce (IRE)",47,6,0,6,24,0,24,0.51063829787234,0,0.51063829787234
"775","EC Petrie (NZ)",258,10,0,10,40,0,40,0.155038759689922,0,0.155038759689922
"776","ED Solkar (INDIA)",1068,74,3,77,296,18,314,0.277153558052434,0.0168539325842697,0.294007490636704
"777","ED Weekes (WI)",4455,332,2,334,1328,12,1340,0.298092031425365,0.00269360269360269,0.300785634118967
"778","EDAS McMorris (WI)",564,3,0,3,12,0,12,0.0212765957446809,0,0.0212765957446809
"779","EE Achong (WI)",81,0,0,0,0,0,0,0,0,0
"780","EE Hemmings (ENG)",383,35,1,36,140,6,146,0.365535248041775,0.0156657963446475,0.381201044386423
"781","EFS Tylecote (ENG)",152,13,0,13,52,0,52,0.342105263157895,0,0.342105263157895
"782","EG Arnold (ENG)",160,5,0,5,20,0,20,0.125,0,0.125
"783","EG Bock (SA)",11,0,0,0,0,0,0,0,0,0
"784","EG Hayes (ENG)",94,7,1,8,28,6,34,0.297872340425532,0.0638297872340425,0.361702127659574
"785","EG McLeod (NZ)",18,0,0,0,0,0,0,0,0,0
"786","EG Wynyard (ENG)",72,4,0,4,16,0,16,0.222222222222222,0,0.222222222222222
"787","EH Bowley (ENG)",252,11,1,12,44,6,50,0.174603174603175,0.0238095238095238,0.198412698412698
"788","EH Bromley (AUS)",38,2,0,2,8,0,8,0.210526315789474,0,0.210526315789474
"789","EH Hendren (ENG)",3521,274,9,283,1096,54,1150,0.311275205907413,0.0153365521158762,0.326611758023289
"790","EH Mattis (WI)",145,20,1,21,80,6,86,0.551724137931034,0.0413793103448276,0.593103448275862
"791","Ehsan Adil (PAK)",21,3,0,3,12,0,12,0.571428571428571,0,0.571428571428571
"792","Ehsanul Haque (BDESH)",7,0,0,0,0,0,0,0,0,0
"793","Ehteshamuddin (PAK)",2,0,0,0,0,0,0,0,0,0
"794","EJ Barlow (SA)",2516,274,5,279,1096,30,1126,0.435612082670906,0.0119236883942766,0.447535771065183
"795","EJ Chatfield (NZ)",180,16,0,16,64,0,64,0.355555555555556,0,0.355555555555556
"796","EJ Gray (NZ)",248,20,0,20,80,0,80,0.32258064516129,0,0.32258064516129
"797","EJ Gregory (AUS)",11,1,0,1,4,0,4,0.363636363636364,0,0.363636363636364
"798","EJ Smith (ENG)",121,4,0,4,16,0,16,0.132231404958678,0,0.132231404958678
"799","EJ Tyler (ENG)",0,0,0,0,0,0,0,NA,NA,NA
"800","EJG Morgan (ENG)",700,77,6,83,308,36,344,0.44,0.0514285714285714,0.491428571428571
"801","EJK Burn (AUS)",41,0,0,0,0,0,0,0,0,0
"802","EJM Cowan (AUS)",1001,123,2,125,492,12,504,0.491508491508492,0.011988011988012,0.503496503496504
"803","EL a'Beckett (AUS)",143,12,0,12,48,0,48,0.335664335664336,0,0.335664335664336
"804","EL Bartlett (WI)",131,8,0,8,32,0,32,0.244274809160305,0,0.244274809160305
"805","EL Dalton (SA)",698,38,2,40,152,12,164,0.217765042979943,0.0171919770773639,0.234957020057307
"806","EL McCormick (AUS)",54,2,0,2,8,0,8,0.148148148148148,0,0.148148148148148
"807","EL St Hill (WI)",18,0,1,1,0,6,6,0,0.333333333333333,0.333333333333333
"808","ELG Hoad (WI)",98,0,0,0,0,0,0,0,0,0
"809","Elias Sunny (BDESH)",38,4,1,5,16,6,22,0.421052631578947,0.157894736842105,0.578947368421053
"810","EM Grace (ENG)",36,4,0,4,16,0,16,0.444444444444444,0,0.444444444444444
"811","EM Meuli (NZ)",38,0,0,0,0,0,0,0,0,0
"812","Enamul Haque (BDESH)",180,25,1,26,100,6,106,0.555555555555556,0.0333333333333333,0.588888888888889
"813","Enamul Haque jnr (BDESH)",59,7,0,7,28,0,28,0.474576271186441,0,0.474576271186441
"814","EP Nupen (SA)",348,5,3,8,20,18,38,0.0574712643678161,0.0517241379310345,0.109195402298851
"815","EQ Davies (SA)",9,0,0,0,0,0,0,0,0,0
"816","ER Dexter (ENG)",4502,513,16,529,2052,96,2148,0.455797423367392,0.0213238560639716,0.477121279431364
"817","ER Mayne (AUS)",64,1,0,1,4,0,4,0.0625,0,0.0625
"818","ER Wilson (ENG)",10,0,0,0,0,0,0,0,0,0
"819","ERH Fuller (SA)",64,5,1,6,20,6,26,0.3125,0.09375,0.40625
"820","ERH Toshack (AUS)",73,4,0,4,16,0,16,0.219178082191781,0,0.219178082191781
"821","ERNS Fernando (SL)",158,16,0,16,64,0,64,0.40506329113924,0,0.40506329113924
"822","ERT Holmes (ENG)",114,0,1,1,0,6,6,0,0.0526315789473684,0.0526315789473684
"823","ES Atkinson (WI)",126,0,1,1,0,6,6,0,0.0476190476190476,0.0476190476190476
"824","ES Maka (INDIA)",2,0,0,0,0,0,0,0,0,0
"825","ES Newson (SA)",30,1,0,1,4,0,4,0.133333333333333,0,0.133333333333333
"826","ESH Giddins (ENG)",10,1,0,1,4,0,4,0.4,0,0.4
"827","ESM Kentish (WI)",1,0,0,0,0,0,0,0,0,0
"828","ET Killick (ENG)",81,0,0,0,0,0,0,0,0,0
"829","ET Smith (ENG)",87,15,0,15,60,0,60,0.689655172413793,0,0.689655172413793
"830","ET Willett (WI)",74,4,0,4,16,0,16,0.216216216216216,0,0.216216216216216
"831","EW Clark (ENG)",36,0,0,0,0,0,0,0,0,0
"832","EW Dawson (ENG)",175,0,0,0,0,0,0,0,0,0
"833","EW Dempster (NZ)",106,0,0,0,0,0,0,0,0,0
"834","EW Freeman (AUS)",345,34,6,40,136,36,172,0.394202898550725,0.104347826086957,0.498550724637681
"835","EWT Tindill (NZ)",73,0,0,0,0,0,0,0,0,0
"836","EZ Matambanadzo (ZIM)",17,1,0,1,4,0,4,0.235294117647059,0,0.235294117647059
"837","F Barratt (ENG)",28,0,0,0,0,0,0,0,0,0
"838","F de Wet (SA)",20,3,0,3,12,0,12,0.6,0,0.6
"839","F du Plessis (SA)",3302,400,17,417,1600,102,1702,0.484554815263477,0.0308903694730466,0.515445184736523
"840","F Hearne (ENG)",47,4,0,4,16,0,16,0.340425531914894,0,0.340425531914894
"841","F Hearne (SA)",121,0,0,0,0,0,0,0,0,0
"842","F Kuys (SA)",26,0,0,0,0,0,0,0,0,0
"843","F Martin (ENG)",14,0,0,0,0,0,0,0,0,0
"844","F Mitchell (ENG)",88,0,0,0,0,0,0,0,0,0
"845","F Mitchell (SA)",28,0,0,0,0,0,0,0,0,0
"846","F Morley (ENG)",6,0,0,0,0,0,0,0,0,0
"847","F Mutizwa (ZIM)",24,3,0,3,12,0,12,0.5,0,0.5
"848","F Nicholson (SA)",76,2,1,3,8,6,14,0.105263157894737,0.0789473684210526,0.184210526315789
"849","F Penn (ENG)",50,6,0,6,24,0,24,0.48,0,0.48
"850","F Ridgway (ENG)",49,0,0,0,0,0,0,0,0,0
"851","FA Iredale (AUS)",807,59,0,59,236,0,236,0.292441140024783,0,0.292441140024783
"852","FA Lowson (ENG)",245,0,0,0,0,0,0,0,0,0
"853","FA MacKinnon (ENG)",5,0,0,0,0,0,0,0,0,0
"854","FA Rose (WI)",344,44,6,50,176,36,212,0.511627906976744,0.104651162790698,0.616279069767442
"855","FA Ward (AUS)",36,1,0,1,4,0,4,0.111111111111111,0,0.111111111111111
"856","Faheem Ashraf (PAK)",123,16,1,17,64,6,70,0.520325203252033,0.0487804878048781,0.569105691056911
