"","Player","TotalRuns","Total4s","Total6s","TotalBoundaries","RunsFrom4s","RunsFrom6s","RunsFromBoundaries","PropFrom4s","PropFrom6s","PropFromBoundaries"
"1954","N Oldfield (ENG)",99,0,0,0,0,0,0,0,0,0
"1955","N Phillip (WI)",297,21,2,23,84,12,96,0.282828282828283,0.0404040404040404,0.323232323232323
"1956","N Pradeep (SL)",132,19,0,19,76,0,76,0.575757575757576,0,0.575757575757576
"1957","N Puna (NZ)",31,2,0,2,8,0,8,0.258064516129032,0,0.258064516129032
"1958","N Reid (SA)",17,2,0,2,8,0,8,0.470588235294118,0,0.470588235294118
"1959","N Wagner (NZ)",442,50,15,65,200,90,290,0.452488687782805,0.203619909502262,0.656108597285068
"1960","NA Foster (ENG)",446,54,4,58,216,24,240,0.484304932735426,0.0538116591928251,0.538116591928251
"1961","NA Knox (ENG)",24,0,0,0,0,0,0,0,0,0
"1962","NA Mallender (ENG)",8,0,0,0,0,0,0,0,0,0
"1963","NA Quinn (SA)",90,0,1,1,0,6,6,0,0.0666666666666667,0.0666666666666667
"1964","Nadeem Abbasi (PAK)",46,6,0,6,24,0,24,0.521739130434783,0,0.521739130434783
"1965","Nadeem Ghauri (PAK)",0,0,0,0,0,0,0,NA,NA,NA
"1966","Nadeem Khan (PAK)",34,1,0,1,4,0,4,0.117647058823529,0,0.117647058823529
"1967","Naeem Islam (BDESH)",416,52,4,56,208,24,232,0.5,0.0576923076923077,0.557692307692308
"1968","Nafees Iqbal (BDESH)",518,72,1,73,288,6,294,0.555984555984556,0.0115830115830116,0.567567567567568
"1969","Naimur Rahman (BDESH)",210,31,0,31,124,0,124,0.59047619047619,0,0.59047619047619
"1970","NAM McLean (WI)",322,31,11,42,124,66,190,0.385093167701863,0.204968944099379,0.590062111801242
"1971","Naoomal Jaoomal (INDIA)",108,0,0,0,0,0,0,0,0,0
"1972","Nasim-ul-Ghani (PAK)",747,51,2,53,204,12,216,0.273092369477912,0.0160642570281124,0.289156626506024
"1973","Nasir Hossain (BDESH)",1044,119,10,129,476,60,536,0.455938697318008,0.0574712643678161,0.513409961685824
"1974","Nasir Jamshed (PAK)",51,8,0,8,32,0,32,0.627450980392157,0,0.627450980392157
"1975","NAT Adcock (SA)",146,7,1,8,28,6,34,0.191780821917808,0.0410958904109589,0.232876712328767
"1976","Naushad Ali (PAK)",156,0,0,0,0,0,0,0,0,0
"1977","Naved-ul-Hasan (PAK)",239,32,5,37,128,30,158,0.535564853556485,0.125523012552301,0.661087866108787
"1978","Naved Anjum (PAK)",44,5,0,5,20,0,20,0.454545454545455,0,0.454545454545455
"1979","Naved Ashraf (PAK)",64,8,0,8,32,0,32,0.5,0,0.5
"1980","Naved Latif (PAK)",20,3,0,3,12,0,12,0.6,0,0.6
"1981","Nawab of Pataudi snr (ENG)",144,6,0,6,24,0,24,0.166666666666667,0,0.166666666666667
"1982","Nawab of Pataudi snr (INDIA)",55,0,0,0,0,0,0,0,0,0
"1983","Nazar Mohammad (PAK)",277,0,0,0,0,0,0,0,0,0
"1984","Nazimuddin (BDESH)",125,17,2,19,68,12,80,0.544,0.096,0.64
"1985","Nazmul Hossain (BDESH)",16,2,1,3,8,6,14,0.5,0.375,0.875
"1986","Nazmul Hossain Shanto (BDESH)",30,4,0,4,16,0,16,0.533333333333333,0,0.533333333333333
"1987","NB Mahwire (ZIM)",147,21,2,23,84,12,96,0.571428571428571,0.0816326530612245,0.653061224489796
"1988","NBF Mann (SA)",400,1,3,4,4,18,22,0.01,0.045,0.055
"1989","NC Johnson (ZIM)",532,60,4,64,240,24,264,0.451127819548872,0.0451127819548872,0.496240601503759
"1990","NC McGarrell (WI)",61,10,0,10,40,0,40,0.655737704918033,0,0.655737704918033
